,Phương thức thanh toán,Tần suất mua hàng,Đăng ký thành viên,Danh mục sản phẩm,Chi tiêu TB theo giới tính
Credit Card,696.0,,,,
Venmo,653.0,,,,
Cash,648.0,,,,
PayPal,638.0,,,,
Debit Card,633.0,,,,
Bank Transfer,632.0,,,,
Every 3 Months,,584.0,,,
Annually,,572.0,,,
Quarterly,,563.0,,,
Monthly,,553.0,,,
Bi-Weekly,,547.0,,,
Fortnightly,,542.0,,,
Weekly,,539.0,,,
No,,,2847.0,,
Yes,,,1053.0,,
Clothing,,,,1737.0,
Accessories,,,,1240.0,
Footwear,,,,599.0,
Outerwear,,,,324.0,
Female,,,,,60.249198717948715
Male,,,,,59.536199095022624
