,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Giới tính vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Danh mục vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu,Mùa vs Chi tiêu
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Female,1248.0,60.249198717948715,23.42055621130221,20.0,40.0,60.0,81.0,100.0,,,,,,,,,,,,,,,,
Male,2652.0,59.536199095022624,23.809975790560312,20.0,38.0,60.0,80.0,100.0,,,,,,,,,,,,,,,,
Accessories,,,,,,,,,1240.0,59.83870967741935,23.30123022616729,20.0,39.75,60.0,80.0,100.0,,,,,,,,
Clothing,,,,,,,,,1737.0,60.025331030512376,23.792460049442045,20.0,38.0,60.0,81.0,100.0,,,,,,,,
Footwear,,,,,,,,,599.0,60.25542570951586,23.638438732916345,20.0,39.0,60.0,81.0,100.0,,,,,,,,
Outerwear,,,,,,,,,324.0,57.17283950617284,24.590033030070995,20.0,34.0,54.5,80.0,100.0,,,,,,,,
Fall,,,,,,,,,,,,,,,,,975.0,61.55692307692308,23.745021974122736,20.0,41.0,62.0,83.0,100.0
Spring,,,,,,,,,,,,,,,,,999.0,58.73773773773774,23.9358546444954,20.0,37.0,58.0,79.5,100.0
Summer,,,,,,,,,,,,,,,,,955.0,58.405235602094244,23.47057959939731,20.0,37.5,58.0,79.0,100.0
Winter,,,,,,,,,,,,,,,,,971.0,60.35736354273944,23.475475135463,20.0,40.0,62.0,80.0,100.0
